epoch,gc_pole_ra,gc_pole_dec,mutual_inclination_deg
-23000,217.335,64.422,40.45
-22900,217.118,64.972,40.85
-22800,216.907,65.521,41.26
-22700,216.702,66.069,41.67
-22600,216.505,66.617,42.09
-22500,216.317,67.164,42.52
-22400,216.137,67.712,42.95
-22300,215.968,68.258,43.38
-22200,215.81,68.805,43.83
-22100,215.665,69.35,44.27
-22000,215.533,69.896,44.73
-21900,215.417,70.44,45.18
-21800,215.317,70.985,45.65
-21700,215.237,71.528,46.11
-21600,215.177,72.071,46.58
-21500,215.141,72.613,47.06
-21400,215.13,73.154,47.54
-21300,215.147,73.694,48.02
-21200,215.196,74.233,48.51
-21100,215.281,74.771,49.0
-21000,215.405,75.307,49.49
-20900,215.573,75.842,49.99
-20800,215.791,76.374,50.49
-20700,216.065,76.905,50.99
-20600,216.403,77.433,51.5
-20500,216.811,77.958,52.0
-20400,217.301,78.48,52.51
-20300,217.883,78.998,53.02
-20200,218.571,79.512,53.54
-20100,219.38,80.021,54.05
-20000,220.329,80.524,54.57
-19900,221.439,81.019,55.08
-19800,222.737,81.507,55.6
-19700,224.252,81.985,56.12
-19600,226.02,82.451,56.64
-19500,228.084,82.903,57.16
-19400,230.492,83.339,57.68
-19300,233.299,83.754,58.2
-19200,236.563,84.145,58.72
-19100,240.346,84.506,59.24
-19000,244.7,84.831,59.76
-18900,249.66,85.114,60.28
-18800,255.225,85.345,60.79
-18700,261.337,85.519,61.31
-18600,267.873,85.627,61.82
-18500,274.641,85.665,62.34
-18400,281.408,85.632,62.85
-18300,287.941,85.53,63.36
-18200,294.048,85.362,63.86
-18100,299.604,85.137,64.37
-18000,304.551,84.861,64.87
-17900,308.887,84.544,65.37
-17800,312.646,84.192,65.86
-17700,315.882,83.81,66.36
-17600,318.655,83.406,66.85
-17500,321.024,82.982,67.33
-17400,323.044,82.543,67.82
-17300,324.763,82.09,68.29
-17200,326.224,81.628,68.77
-17100,327.462,81.157,69.24
-17000,328.508,80.679,69.7
-16900,329.388,80.195,70.16
-16800,330.122,79.707,70.62
-16700,330.731,79.215,71.07
-16600,331.229,78.721,71.51
-16500,331.63,78.223,71.95
-16400,331.944,77.725,72.39
-16300,332.183,77.224,72.82
-16200,332.353,76.723,73.24
-16100,332.462,76.222,73.65
-16000,332.517,75.72,74.06
-15900,332.522,75.218,74.47
-15800,332.483,74.717,74.86
-15700,332.403,74.216,75.25
-15600,332.287,73.716,75.63
-15500,332.137,73.217,76.01
-15400,331.956,72.719,76.37
-15300,331.747,72.222,76.73
-15200,331.512,71.727,77.09
-15100,331.253,71.233,77.43
-15000,330.972,70.741,77.76
-14900,330.67,70.251,78.09
-14800,330.35,69.763,78.41
-14700,330.011,69.277,78.72
-14600,329.656,68.793,79.02
-14500,329.285,68.311,79.31
-14400,328.9,67.832,79.6
-14300,328.5,67.355,79.87
-14200,328.088,66.881,80.14
-14100,327.664,66.41,80.39
-14000,327.229,65.941,80.64
-13900,326.782,65.475,80.88
-13800,326.325,65.012,81.1
-13700,325.859,64.552,81.32
-13600,325.383,64.095,81.53
-13500,324.898,63.642,81.72
-13400,324.406,63.191,81.91
-13300,323.905,62.744,82.08
-13200,323.396,62.301,82.25
-13100,322.88,61.86,82.41
-13000,322.357,61.424,82.55
-12900,321.828,60.991,82.68
-12800,321.292,60.562,82.81
-12700,320.749,60.136,82.92
-12600,320.201,59.714,83.02
-12500,319.647,59.297,83.11
-12400,319.088,58.883,83.19
-12300,318.523,58.473,83.26
-12200,317.953,58.068,83.32
-12100,317.379,57.666,83.37
-12000,316.799,57.269,83.4
-11900,316.215,56.876,83.43
-11800,315.626,56.488,83.44
-11700,315.033,56.104,83.44
-11600,314.436,55.724,83.43
-11500,313.835,55.349,83.42
-11400,313.23,54.979,83.39
-11300,312.621,54.614,83.34
-11200,312.008,54.253,83.29
-11100,311.392,53.897,83.23
-11000,310.772,53.546,83.15
-10900,310.148,53.199,83.07
-10800,309.522,52.858,82.97
-10700,308.892,52.522,82.87
-10600,308.259,52.191,82.75
-10500,307.623,51.865,82.62
-10400,306.983,51.544,82.48
-10300,306.341,51.229,82.33
-10200,305.697,50.919,82.17
-10100,305.049,50.614,82.0
-10000,304.399,50.315,81.82
-9900,303.746,50.021,81.63
-9800,303.09,49.733,81.43
-9700,302.432,49.451,81.22
-9600,301.772,49.174,81.0
-9500,301.109,48.902,80.77
-9400,300.444,48.637,80.53
-9300,299.777,48.377,80.28
-9200,299.108,48.123,80.02
-9100,298.436,47.875,79.75
-9000,297.762,47.633,79.48
-8900,297.087,47.396,79.19
-8800,296.409,47.166,78.89
-8700,295.73,46.942,78.59
-8600,295.049,46.724,78.28
-8500,294.366,46.512,77.96
-8400,293.681,46.306,77.63
-8300,292.994,46.106,77.29
-8200,292.306,45.913,76.95
-8100,291.617,45.726,76.59
-8000,290.926,45.545,76.23
-7900,290.233,45.37,75.86
-7800,289.539,45.202,75.49
-7700,288.843,45.041,75.1
-7600,288.147,44.885,74.71
-7500,287.449,44.736,74.31
-7400,286.75,44.594,73.91
-7300,286.049,44.458,73.5
-7200,285.348,44.329,73.08
-7100,284.645,44.206,72.66
-7000,283.942,44.089,72.23
-6900,283.237,43.98,71.8
-6800,282.532,43.877,71.35
-6700,281.826,43.78,70.91
-6600,281.118,43.69,70.46
-6500,280.41,43.607,70.0
-6400,279.702,43.531,69.54
-6300,278.992,43.461,69.07
-6200,278.283,43.398,68.6
-6100,277.572,43.342,68.12
-6000,276.861,43.292,67.64
-5900,276.149,43.249,67.16
-5800,275.437,43.213,66.67
-5700,274.725,43.183,66.18
-5600,274.012,43.161,65.68
-5500,273.299,43.145,65.19
-5400,272.585,43.135,64.68
-5300,271.872,43.133,64.18
-5200,271.158,43.137,63.67
-5100,270.444,43.148,63.16
-5000,269.73,43.166,62.65
-4900,269.015,43.19,62.14
-4800,268.301,43.221,61.62
-4700,267.587,43.259,61.1
-4600,266.873,43.304,60.59
-4500,266.159,43.355,60.07
-4400,265.445,43.413,59.55
-4300,264.731,43.478,59.02
-4200,264.018,43.549,58.5
-4100,263.304,43.627,57.98
-4000,262.591,43.711,57.46
-3900,261.879,43.803,56.93
-3800,261.167,43.9,56.41
-3700,260.455,44.005,55.89
-3600,259.743,44.115,55.37
-3500,259.032,44.233,54.85
-3400,258.322,44.357,54.33
-3300,257.612,44.487,53.82
-3200,256.903,44.624,53.31
-3100,256.194,44.767,52.79
-3000,255.486,44.917,52.29
-2900,254.778,45.073,51.78
-2800,254.072,45.235,51.28
-2700,253.366,45.404,50.78
-2600,252.66,45.578,50.28
-2500,251.956,45.76,49.79
-2400,251.252,45.947,49.3
-2300,250.549,46.14,48.82
-2200,249.847,46.34,48.35
-2100,249.146,46.546,47.88
-2000,248.446,46.758,47.41
-1900,247.746,46.975,46.95
-1800,247.048,47.199,46.5
-1700,246.351,47.429,46.05
-1600,245.654,47.665,45.61
-1500,244.959,47.906,45.18
-1400,244.264,48.153,44.76
-1300,243.571,48.406,44.35
-1200,242.879,48.665,43.94
-1100,242.187,48.93,43.54
-1000,241.497,49.2,43.16
-900,240.808,49.476,42.78
-800,240.12,49.757,42.42
-700,239.433,50.044,42.06
-600,238.748,50.336,41.72
-500,238.063,50.634,41.39
-400,237.38,50.937,41.07
-300,236.698,51.245,40.76
-200,236.017,51.559,40.47
-100,235.337,51.877,40.19
0,234.659,52.201,39.92
100,233.981,52.53,39.67
200,233.305,52.864,39.43
300,232.63,53.204,39.21
400,231.957,53.548,39.0
500,231.284,53.897,38.81
600,230.613,54.25,38.63
700,229.943,54.609,38.47
800,229.275,54.972,38.33
900,228.608,55.34,38.2
1000,227.942,55.713,38.09
1100,227.277,56.09,38.0
1200,226.614,56.472,37.92
1300,225.952,56.858,37.87
1400,225.291,57.249,37.83
1500,224.631,57.644,37.8
1600,223.973,58.043,37.8
1700,223.316,58.447,37.81
1800,222.661,58.854,37.84
1900,222.007,59.266,37.89
2000,221.354,59.682,37.96
2100,220.702,60.102,38.04
2200,220.052,60.526,38.14
2300,219.404,60.954,38.26
2400,218.756,61.385,38.4
2500,218.11,61.82,38.55
2600,217.466,62.26,38.72
2700,216.823,62.702,38.91
2800,216.181,63.149,39.11
2900,215.541,63.598,39.33
3000,214.902,64.052,39.56
